from,to,salary
2001-02,2001-04,382200
2001-05,2002-12,415800
2003-01,2004-09,574200
2004-10,2004-12,736600
2005-01,2005-09,826500
2005-10,2006-01,997500
2006-02,2006-09,927500
2006-10,2006-12,1192500
2007-01,2007-12,1192500
2008-01,2008-05,1431000
2008-08,2008-12,2500000
2009-01,2009-10,2500000
2011-05,2011-06,4231000
2011-07,2011-12,6813000
2012-01,2012-05,6813000
2012-06,2013-12,7699000
2014-01,2014-05,7699000
2014-06,2015-10,10260000
2016-01,2016-02,23000000
2016-03,2016-12,9952000
2017-01,2017-05,10155000
2017-06,2017-07,10155000
2017-08,2017-12,10155000
2018-01,2018-09,10260000
2019-02,2019-12,17240000
2020-01,2020-02,17240000
2020-03,2021-02,19950000
2021-03,2022-03,26490000
2022-04,2023-06,29800000
2023-07,2024-09,30690000
2024-10,2025-12,30690000
