parameter,value,description
documentFee,100000,Phí thẩm định hồ sơ (VND)
certificateFee,500000,Phí cấp giấy chứng nhận (VND)
notaryFeeRate,0.001,Tỷ lệ phí công chứng (0.1%)
firstTimeBuyerDiscount,0.5,Giảm giá cho người mua nhà lần đầu (50%)
transferTaxRate1,0.20,Thuế suất chuyển nhượng < 2 năm (20%)
transferTaxRate2,0.15,Thuế suất chuyển nhượng 2-5 năm (15%)
transferTaxRate3,0.10,Thuế suất chuyển nhượng >= 5 năm (10%)
exemptionThreshold1,2,Ngưỡng miễn thuế chuyển nhượng (2 năm)
exemptionThreshold2,5,Ngưỡng giảm thuế chuyển nhượng (5 năm)
residentialLandUseTaxRate,0.03,Thuế suất sử dụng đất nhà ở (3%/năm)
commercialLandUseTaxRate,0.07,Thuế suất sử dụng đất thương mại (7%/năm)
industrialLandUseTaxRate,0.05,Thuế suất sử dụng đất công nghiệp (5%/năm)
agriculturalLandUseTaxRate,0.01,Thuế suất sử dụng đất nông nghiệp (1%/năm)
officeLandUseTaxRate,0.08,Thuế suất sử dụng đất văn phòng (8%/năm)
warehouseLandUseTaxRate,0.04,Thuế suất sử dụng đất kho bãi (4%/năm)
residentialTransferTaxRate,2.0,Thuế suất chuyển nhượng nhà ở (2%)
commercialTransferTaxRate,2.0,Thuế suất chuyển nhượng thương mại (2%)
industrialTransferTaxRate,2.0,Thuế suất chuyển nhượng công nghiệp (2%)
agriculturalTransferTaxRate,2.0,Thuế suất chuyển nhượng nông nghiệp (2%)
officeTransferTaxRate,2.0,Thuế suất chuyển nhượng văn phòng (2%)
warehouseTransferTaxRate,2.0,Thuế suất chuyển nhượng kho bãi (2%)
residentialRegistrationFeeRate,0.5,Lệ phí trước bạ nhà ở (0.5%)
commercialRegistrationFeeRate,0.5,Lệ phí trước bạ thương mại (0.5%)
industrialRegistrationFeeRate,0.5,Lệ phí trước bạ công nghiệp (0.5%)
agriculturalRegistrationFeeRate,0.5,Lệ phí trước bạ nông nghiệp (0.5%)
officeRegistrationFeeRate,0.5,Lệ phí trước bạ văn phòng (0.5%)
warehouseRegistrationFeeRate,0.5,Lệ phí trước bạ kho bãi (0.5%)
urban1Coefficient,1.5,Hệ số khu vực đô thị loại 1 (HN HCM)
urban2Coefficient,1.3,Hệ số khu vực đô thị loại 2
urban3Coefficient,1.1,Hệ số khu vực đô thị loại 3
ruralCoefficient,1.0,Hệ số khu vực nông thôn
remoteCoefficient,0.8,Hệ số khu vực vùng sâu vùng xa
residentialExemptionArea,200,Diện tích miễn thuế đất ở (m²)
commercialExemptionArea,0,Diện tích miễn thuế đất thương mại (m²)
industrialExemptionArea,0,Diện tích miễn thuế đất công nghiệp (m²)
agriculturalExemptionArea,1000,Diện tích miễn thuế đất nông nghiệp (m²)
officeExemptionArea,0,Diện tích miễn thuế đất văn phòng (m²)
warehouseExemptionArea,0,Diện tích miễn thuế đất kho bãi (m²)
