parameter,value,description
personalDeduction,15500000,Giảm trừ bản thân (VND/tháng)
dependentDeduction,6200000,Giảm trừ người phụ thuộc (VND/tháng)
insuranceDeduction,10500000,Giảm trừ bảo hiểm bắt buộc tối đa (VND/tháng)
tier1Min,0,Bậc 1 - Thu nhập từ (VND/tháng)
tier1Max,5000000,Bậc 1 - Thu nhập đến (VND/tháng)
tier1Rate,0.05,Bậc 1 - Thuế suất (5%)
tier2Min,5000001,Bậc 2 - Thu nhập từ (VND/tháng)
tier2Max,10000000,Bậc 2 - Thu nhập đến (VND/tháng)
tier2Rate,0.1,Bậc 2 - Thuế suất (10%)
tier3Min,10000001,Bậc 3 - Thu nhập từ (VND/tháng)
tier3Max,18000000,Bậc 3 - Thu nhập đến (VND/tháng)
tier3Rate,0.15,Bậc 3 - Thuế suất (15%)
tier4Min,18000001,Bậc 4 - Thu nhập từ (VND/tháng)
tier4Max,32000000,Bậc 4 - Thu nhập đến (VND/tháng)
tier4Rate,0.2,Bậc 4 - Thuế suất (20%)
tier5Min,32000001,Bậc 5 - Thu nhập từ (VND/tháng)
tier5Max,52000000,Bậc 5 - Thu nhập đến (VND/tháng)
tier5Rate,0.25,Bậc 5 - Thuế suất (25%)
tier6Min,52000001,Bậc 6 - Thu nhập từ (VND/tháng)
tier6Max,80000000,Bậc 6 - Thu nhập đến (VND/tháng)
tier6Rate,0.3,Bậc 6 - Thuế suất (30%)
tier7Min,80000001,Bậc 7 - Thu nhập từ (VND/tháng)
tier7Max,999999999,Bậc 7 - Thu nhập đến (VND/tháng)
tier7Rate,0.35,Bậc 7 - Thuế suất (35%)
